database_id,target_id,comparator_id,analysis_id,preference_score,target_density,comparator_density
YUHS,1792797,1793457,3,0.7070707070707072,0.025200857509946738,5.903421192170072e-15
YUHS,1792797,1793457,3,0.7171717171717172,2.1023541698862575e-4,7.919688982108045e-16
YUHS,1792797,1793457,3,0.7272727272727273,0.07430492756189921,3.5783485571733076e-15
YUHS,1792797,1793457,3,0.7373737373737375,0.05412468508770386,7.037618767249523e-15
YUHS,1792797,1793457,3,0.7474747474747475,1.2691554090787867e-4,4.011274577521729e-15
YUHS,1792797,1793457,3,0.7575757575757577,0.47330249358308557,1.7372968587521769e-15
YUHS,1792797,1793457,3,0.7676767676767677,0.286618049694786,1.5767346470517302e-16
YUHS,1792797,1793457,3,0.7777777777777778,0.39307352528227174,1.3538215551581685e-15
YUHS,1792797,1793457,3,0.787878787878788,0.5358887314752578,0
YUHS,1792797,1793457,3,0.797979797979798,0.5796173389183727,9.275538878248116e-15
YUHS,1792797,1793457,3,0.8080808080808082,0.214107335218107,6.445388187452211e-16
YUHS,1792797,1793457,3,0.8181818181818182,0.2366866246268463,2.4692220832008808e-15
YUHS,1792797,1793457,3,0.8282828282828284,0.48878612976336444,6.114730563078885e-16
YUHS,1792797,1793457,3,0.8383838383838385,0.07843757169139459,3.398843415759238e-15
YUHS,1792797,1793457,3,0.8484848484848485,0.04546339939340076,1.062798412493332e-16
YUHS,1792797,1793457,3,0.8585858585858587,0.2718206254467724,1.4849016864912929e-15
YUHS,1792797,1793457,3,0.8686868686868687,0.4369543477689611,0
YUHS,1792797,1793457,3,0.8787878787878789,0.26892654300844065,3.276790854147359e-14
YUHS,1792797,1793457,3,0.888888888888889,0.3207198128260215,6.545441526605232e-17
YUHS,1792797,1793457,3,0.8989898989898991,0.13062555813191748,0
YUHS,1792797,1793457,3,0.9090909090909092,0.7611105921084171,0
YUHS,1792797,1793457,3,0.9191919191919192,0.6566408536821798,1.3256825739824576e-15
YUHS,1792797,1793457,3,0.9292929292929294,0.8131640318708306,0
YUHS,1792797,1793457,3,0.9393939393939394,0.9384113729805362,2.2827523617767043e-15
YUHS,1792797,1793457,3,0.9494949494949496,1.7730152786276332,1.2005871510445209e-14
YUHS,1792797,1793457,3,0.9595959595959597,1.609917080504786,3.714653861014126e-16
YUHS,1792797,1793457,3,0.9696969696969697,3.131132732740259,3.1110262477448225e-15
YUHS,1792797,1793457,3,0.9797979797979799,3.6835388407594483,2.225830281741577e-15
YUHS,1792797,1793457,3,0.98989898989899,8.91007711253863,4.4557470703714466e-015
YUHS,1792797,1793457,3,1,132.10793652941328,0
YUHS,1792797,1793457,4,0,0,1081.8703142402694
YUHS,1792797,1793457,4,0.010101010101010102,0,0
YUHS,1792797,1793457,4,0.020202020202020204,0,7.724937880496296e-16
YUHS,1792797,1793457,4,0.030303030303030304,9.343618551380019e-18,0
