target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id
1792797,1793457,74855,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,439840,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4001458,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4171915,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4304008,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,381444,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,433527,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,141933,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,438407,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,134619,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,436675,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,432590,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,434626,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,437082,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4239381,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,318800,1,2.33333333333333,0.648695890738148,10.8261315327973,0.238009145163974,NA,0.847297860387204,0.718062697480801,16,16,2661,5311,7,5,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,77965,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792371,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,4377,0,-5,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,192606,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4108467,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,435093,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,197036,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,440129,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,253796,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,195212,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,80509,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4280571,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,194696,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4288544,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,198803,1,1,0.0395799610481354,25.2653103620755,1,NA,0,1.64769982939051,16,16,4003,6333,-5,-5,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,81336,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,433440,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792366,1,9.59713049391343e-10,NA,1.6128994352159,NA,NA,-20.7643867830323,NA,16,16,4013,4251,-5,-5,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4068482,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4207307,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,378424,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4092565,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,4339088,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,316457,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,380395,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,374655,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,81878,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,1792364,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,-5,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,139902,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
1792797,1793457,40443308,1,NA,NA,NA,NA,NA,NA,NA,16,16,4014,6697,0,0,NA,NA,NA,NA,NA,NA,YUHS
